
timestamp,d,y,p,r,a_x,a_y,a_z
15:19:15.206,68,-26.88,33.19,-7.42,-1024,-457,-4053
15:19:15.281,73,-26.47,33.16,-7.33,-961,-425,-4061
15:19:15.422,72,-18.56,31.40,-4.82,-717,-434,-3956
15:19:15.528,73,-18.47,31.28,-4.76,-742,-383,-3939
15:19:15.629,74,-18.38,31.19,-4.73,-659,-421,-3957
15:19:15.700,73,-18.31,31.18,-4.67,-580,-419,-3985
15:19:15.803,66,-18.27,31.20,-4.62,-518,-387,-4023
15:19:15.952,67,-25.12,32.02,-6.09,-796,160,-4085
15:19:16.025,65,-25.47,32.05,-6.27,-816,186,-4111
15:19:16.131,68,-25.78,32.09,-6.43,-860,215,-4122
15:19:16.238,71,-26.08,32.15,-6.61,-883,237,-4133
15:19:16.310,68,-26.34,32.24,-6.77,-950,263,-4119
15:19:16.478,68,-21.34,33.55,-9.76,-1188,-546,-4386
15:19:16.551,69,-20.91,33.65,-9.65,-1230,-509,-4306
15:19:16.660,67,-20.45,33.72,-9.56,-1285,-469,-4229
15:19:16.733,71,-19.96,33.74,-9.51,-1291,-471,-4247
15:19:16.837,72,-19.49,33.73,-9.45,-1231,-522,-4310
15:19:16.979,75,-5.85,32.87,-5.31,-390,-547,-3892
15:19:17.086,74,-5.62,32.81,-5.21,-388,-524,-3885
15:19:17.154,71,-5.43,32.76,-5.11,-399,-497,-3879
15:19:17.263,74,-5.26,32.72,-5.02,-424,-440,-3802
15:19:17.372,74,-5.11,32.69,-4.97,-438,-409,-3767
15:19:17.512,70,-8.62,33.04,-5.68,-629,-2,-3827
15:19:17.585,69,-8.93,33.06,-5.83,-621,5,-3799
15:19:17.693,70,-9.24,33.11,-5.98,-612,-15,-3829
15:19:17.762,68,-9.54,33.19,-6.11,-632,-6,-3838
15:19:17.910,65,-12.61,34.65,-10.36,-1215,-302,-4274
15:19:18.012,68,-12.42,34.68,-10.43,-1226,-301,-4298
15:19:18.113,67,-12.21,34.64,-10.50,-1201,-298,-4321
15:19:18.217,69,-12.00,34.60,-10.56,-1169,-316,-4358
15:19:18.287,70,-11.76,34.58,-10.56,-1163,-327,-4331
15:19:18.430,71,0.40,34.19,-8.56,-863,-674,-4184
15:19:18.535,73,0.82,34.12,-8.43,-843,-625,-4161
